TLP,vout_max,TLP,Vpeak [V]
186,58.53,57.8,50.42519459
187,58.62,58.1,50.67900922
188,58.71,58.4,51.48822848
189,58.79,58.7,51.05780931
190,58.88,59,49.81224682
191,58.97,59.3,51.768137
192,59.06,59.6,51.05088973
193,59.15,59.9,50.34709551
194,59.23,60,50.98847925
195,59.32,61,50.82343088
196,59.41,62,51.85913493
197,59.5,63,50.845197
198,59.59,64,51.6916952
199,59.68,65,51.73685388
200,59.76,66,51.47538516
201,59.85,67,52.94528098
202,59.94,68,52.2077727
203,60.03,69,52.2812373
204,60.11,70,51.58709175
205,60.2,71,53.19555232
206,60.29,72,52.08947339
207,60.38,73,53.95194051
208,60.47,74,52.45998091
209,60.55,75,53.79133935
210,60.64,76,52.59526878
211,60.73,77,53.29212549
212,60.82,78,54.10669305
213,60.9,79,53.53668246
214,60.99,80,53.8783679
215,61.08,81,54.10813368
216,61.16,82,54.38514642
217,61.25,83,53.08716175
218,61.34,84,53.38354622
219,61.43,85,54.90753235
220,61.51,86,54.36788262
221,61.6,87,55.86360795
222,61.69,88,54.90062995
223,61.77,89,54.89192567
224,61.86,90,54.90670849
225,61.95,91,53.8572298
226,62.03,92,55.54990304
227,62.12,93,55.07398728
228,62.21,94,56.33234247
229,62.14,95,54.16411285
230,62.19,96,54.88798961
231,62.24,97,55.57164859
232,62.3,98,55.9527113
233,62.36,99,55.06012908
234,62.42,100,54.94692872
235,62.49,102,55.31358127
236,62.55,104,55.22970443
237,62.62,106,55.62016696
238,62.68,108,55.16267578
239,62.75,110,56.31039837
240,62.82,112,56.46642214
241,62.89,114,56.9022547
242,62.96,116,56.64594985
243,63.02,118,57.37405351
244,63.09,120,56.14598463
245,63.16,122,57.42772938
246,63.23,124,57.87938689
247,63.3,126,57.40004607
248,63.37,128,57.43184079
249,63.44,130,57.75472847
250,63.51,132,57.85476707
251,63.58,134,58.61012908
252,63.65,136,58.12063316
253,63.72,138,57.98577413
254,63.79,140,58.85015749
255,63.87,142,58.4485187
256,63.94,144,58.71645931
257,64.01,146,57.83064754
258,64.08,148,58.01692135
259,64.15,150,59.29720295
260,64.22,152,59.86335333
261,64.3,154,57.74105463
262,64.38,156,59.1045952
263,64.46,158,59.31311809
264,64.54,160,60.61410051
265,64.62,162,59.51826557
266,64.7,164,59.20699164
267,64.78,166,59.15399253
268,64.86,168,60.21859743
269,64.94,170,60.74737795
270,65.02,172,60.37796924
271,65.1,174,60.77501501
272,65.18,176,60.62300872
273,65.26,178,60.94139928
274,65.34,180,60.83589092
275,65.42,182,60.54851839
276,65.51,184,59.55025441
277,65.59,186,60.8439843
278,65.67,188,61.44705082
279,65.75,190,61.15228307
280,65.83,192,61.5124063
281,65.91,194,61.77474406
282,65.99,196,61.01560367
283,66.07,198,62.6750945
284,66.15,200,60.89741932
285,66.23,210,62.56749332
286,66.31,220,62.9731964
287,66.39,230,63.45436247
288,66.47,240,63.65823969
289,66.55,250,65.55928785
290,66.63,260,65.3890336
291,66.71,270,65.36637464
292,66.79,280,68.26605267
293,66.88,290,67.00750406
294,66.96,300,66.04665094
295,67.04,310,68.61537332
296,67.12,320,72.29560927
297,67.21,330,70.4264526
298,67.29,340,70.08932588
