time,vout,iout,
5.32E-09,11.79,3.568,#REF!
5.33E-09,11.6,3.439,#REF!
5.35E-09,11.23,3.179,#REF!
5.37E-09,10.86,2.919,#REF!
5.39E-09,10.49,2.659,#REF!
5.41E-09,10.11,2.399,#REF!
5.43E-09,9.743,2.139,#REF!
5.45E-09,9.37,1.879,#REF!
5.47E-09,8.997,1.619,#REF!
5.49E-09,8.624,1.359,#REF!
5.51E-09,8.249,1.099,#REF!
5.53E-09,7.873,8.39E-01,#REF!
5.55E-09,7.495,5.79E-01,#REF!
5.57E-09,7.112,3.19E-01,#REF!
5.59E-09,6.708,5.98E-02,#REF!
5.59E-09,6.654,2.79E-02,#REF!
5.59E-09,6.62,9.46E-03,#REF!
5.59E-09,6.589,-5.93E-03,#REF!
5.59E-09,6.548,-2.00E-02,#REF!
5.59E-09,6.475,-3.49E-02,#REF!
5.59E-09,6.381,-4.79E-02,#REF!
5.6E-09,6.237,-6.19E-02,#REF!
5.6E-09,6.046,-7.55E-02,#REF!
5.6E-09,5.781,-8.97E-02,#REF!
5.6E-09,5.457,-1.04E-01,#REF!
5.6E-09,5.377,-1.08E-01,#REF!
5.6E-09,5.421,-1.08E-01,#REF!
5.6E-09,5.533,-1.11E-01,#REF!
5.6E-09,5.643,-1.13E-01,#REF!
5.6E-09,5.681,-1.14E-01,#REF!
5.6E-09,5.685,-1.14E-01,#REF!
5.6E-09,5.537,-1.11E-01,#REF!
5.61E-09,5.234,-1.05E-01,#REF!
5.61E-09,4.836,-9.67E-02,#REF!
5.61E-09,4.374,-8.75E-02,#REF!
5.61E-09,3.956,-7.91E-02,#REF!
5.61E-09,3.387,-6.78E-02,#REF!
5.62E-09,2.602,-5.20E-02,#REF!
5.63E-09,1.716,-3.43E-02,#REF!
5.63E-09,1.222,-2.45E-02,#REF!
5.64E-09,8.75E-01,-1.75E-02,#REF!
5.64E-09,6.42E-01,-1.28E-02,#REF!
5.65E-09,4.76E-01,-9.52E-03,#REF!
5.66E-09,3.55E-01,-7.10E-03,#REF!
5.66E-09,2.65E-01,-5.29E-03,#REF!
5.67E-09,1.97E-01,-3.94E-03,#REF!
5.67E-09,1.46E-01,-2.93E-03,#REF!
5.68E-09,1.09E-01,-2.17E-03,#REF!
5.68E-09,8.04E-02,-1.61E-03,#REF!
5.69E-09,5.96E-02,-1.19E-03,#REF!
5.69E-09,4.42E-02,-8.83E-04,#REF!
5.7E-09,3.27E-02,-6.55E-04,#REF!
